package	variant	status	max_rss_k	wall_s	exit_code	tsgo_version
@beep/epistemic-server	baseline	ok	25975680	36.90	0	7.0.2+effect-tsgo.0.24.3
@beep/professional-desktop	baseline-initial	ok	38647076	114.97	0	7.0.2+effect-tsgo.0.24.3
@beep/professional-desktop	baseline-rerun	ok	49898372	122.43	0	7.0.2+effect-tsgo.0.24.3
@beep/repo-cli	baseline	ok	5335988	13.91	0	7.0.2+effect-tsgo.0.24.3
@beep/ontology-ui	baseline	ok	6226484	13.97	0	7.0.2+effect-tsgo.0.24.3
@beep/agents-server	baseline	ok	4408736	12.53	0	7.0.2+effect-tsgo.0.24.3
@beep/md	baseline	ok	3947452	9.97	0	7.0.2+effect-tsgo.0.24.3
@beep/html	baseline	ok	3444332	8.74	0	7.0.2+effect-tsgo.0.24.3
@beep/db-admin	baseline	ok	12433868	24.60	0	7.0.2+effect-tsgo.0.24.3
@beep/types	baseline	ok	77208	0.05	0	7.0.2+effect-tsgo.0.24.3
@beep/epistemic-server	no-target-declarations	ok	25253908	32.48	0	7.0.2+effect-tsgo.0.24.3
@beep/md	no-target-declarations	ok	4178720	11.62	0	7.0.2+effect-tsgo.0.24.3
@beep/fc-runs	isolated-declarations	ok	144132	0.09	0	7.0.2+effect-tsgo.0.24.3
