package	kind	tool	max_rss_k	rss_gib	wall_s	rc	args
@beep/root	other	tsgo	11029184	10.52	10.82	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/apps-professional-desktop.tsconfig.json --pretty false
@beep/root	other	tsgo	7518732	7.17	6.52	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-_internal-db-admin.tsconfig.json --pretty false
@beep/root	other	tsgo	6627940	6.32	5.59	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-law-practice-server.tsconfig.json --pretty false
@beep/root	other	tsgo	5887480	5.61	7.01	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-tooling-tool-cli.tsconfig.json --pretty false
@beep/root	other	tsgo	4578168	4.37	3.7	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-epistemic-server.tsconfig.json --pretty false
@beep/root	other	tsgo	4372436	4.17	4.61	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-workspace-server.tsconfig.json --pretty false
@beep/root	other	tsgo	3755812	3.58	4.24	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-agents-client.tsconfig.json --pretty false
@beep/root	other	tsgo	3663596	3.49	4.37	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-workspace-use-cases.tsconfig.json --pretty false
@beep/root	other	tsgo	3651796	3.48	4.07	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-workspace-domain.tsconfig.json --pretty false
@beep/root	other	tsgo	3524304	3.36	3.44	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-law-practice-use-cases.tsconfig.json --pretty false
@beep/root	other	tsgo	3520624	3.36	3.12	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-epistemic-tables.tsconfig.json --pretty false
@beep/root	other	tsgo	3511284	3.35	4.17	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-ontology-ui.tsconfig.json --pretty false
@beep/root	other	tsgo	3411808	3.25	4.02	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-agents-server.tsconfig.json --pretty false
@beep/root	other	tsgo	3356580	3.2	2.98	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-epistemic-use-cases.tsconfig.json --pretty false
@beep/root	other	tsgo	3353444	3.2	4.14	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-ontology-client.tsconfig.json --pretty false
@beep/root	other	tsgo	3316120	3.16	2.85	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-documents-server.tsconfig.json --pretty false
@beep/root	other	tsgo	3156560	3.01	4.01	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-agents-use-cases.tsconfig.json --pretty false
@beep/root	other	tsgo	3052408	2.91	2.9	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-law-practice-domain.tsconfig.json --pretty false
@beep/root	other	tsgo	3003156	2.86	3.4	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-foundation-modeling-html.tsconfig.json --pretty false
@beep/root	other	tsgo	2950892	2.81	3.32	0	-p <repo>/node_modules/.tmp/tsgo-test-checks/packages-foundation-modeling-md.tsconfig.json --pretty false
