package	kind	tool	max_rss_k	rss_gib	wall_s	rc	args
@beep/epistemic-server	build	tsgo	24411864	23.28	22.78	0	-b tsconfig.json
@beep/professional-desktop	build	tsgo	20161516	19.23	26.37	0	-b tsconfig.json
@beep/db-admin	test	tsgo	7820924	7.46	6.41	0	-p tsconfig.test.json --noEmit
@beep/epistemic-ui	build	tsgo	6384972	6.09	8.55	0	-b tsconfig.json
@beep/db-admin	build	tsgo	5139080	4.9	5.81	0	-b tsconfig.json
@beep/epistemic-client	build	tsgo	4718916	4.5	9.32	0	-b tsconfig.json
@beep/epistemic-server	test	tsgo	4517860	4.31	3.67	0	-p tsconfig.test.json --noEmit
@beep/epistemic-tables	build	tsgo	4393868	4.19	4.02	0	-b tsconfig.json
@beep/epistemic-tables	test	tsgo	3910552	3.73	3.15	0	-p tsconfig.test.json --noEmit
@beep/html	build	tsgo	3707900	3.54	7.45	0	-b tsconfig.json
@beep/documents-server	test	tsgo	3604428	3.44	2.75	0	-p tsconfig.test.json --noEmit
@beep/ontology-client	test	tsgo	3405016	3.25	3.77	0	-p tsconfig.test.json --noEmit
@beep/epistemic-use-cases	build	tsgo	3258064	3.11	3.24	0	-b tsconfig.json
@beep/epistemic-use-cases	test	tsgo	3196672	3.05	2.97	0	-p tsconfig.test.json --noEmit
@beep/law-practice-tables	test	tsgo	3134700	2.99	2.78	0	-p tsconfig.test.json --noEmit
@beep/epistemic-ui	test	tsgo	3122816	2.98	2.38	0	-p tsconfig.test.json --noEmit
@beep/documents-server	build	tsgo	3036516	2.9	2.83	0	-b tsconfig.json
@beep/html	test	tsgo	3002608	2.86	3.29	0	-p tsconfig.test.json --noEmit
@beep/law-practice-use-cases	build	tsgo	2953776	2.82	2.46	0	-b tsconfig.json
@beep/epistemic-client	test	tsgo	2951276	2.81	2.16	0	-p tsconfig.test.json --noEmit
@beep/html	scripts	tsgo	2908764	2.77	3.18	0	-p tsconfig.scripts.json --noEmit
@beep/repo-cli	build	tsgo	2829172	2.7	2.93	0	-b tsconfig.json
@beep/lexical-schema	test	tsgo	2798692	2.67	3.49	0	-p tsconfig.test.json --noEmit
@beep/storybook	stories	tsc	2671016	2.55	2.23	0	-p tsconfig.stories.json --noEmit
@beep/documents-tables	build	tsgo	2410080	2.3	2.09	0	-b tsconfig.json
@beep/ui	stories	tsc	2359004	2.25	1.99	0	-p tsconfig.stories.json --noEmit
@beep/law-practice-domain	build	tsgo	2317108	2.21	2.33	0	-b tsconfig.json
