package	kind	tool	max_rss_k	rss_gib	wall_s	rc	args
@beep/professional-desktop	other	tsgo	10998408	10.49	10.43	0	-p tsconfig.check.json
@beep/db-admin	test	tsgo	7573284	7.22	6.37	0	-p tsconfig.test.json --noEmit
@beep/law-practice-server	other	tsgo	6800128	6.49	5.92	0	-p tsconfig.check.json
@beep/epistemic-ui	build	tsgo	6203004	5.92	9.26	0	-b tsconfig.json
@beep/practice-kg-mcp	other	tsgo	5667336	5.4	5.06	0	-p tsconfig.check.json
@beep/db-admin	build	tsgo	5258228	5.01	6.07	0	-b tsconfig.json
@beep/epistemic-server	other	tsgo	4417108	4.21	3.29	0	-p tsconfig.check.json
@beep/epistemic-server	test	tsgo	4316104	4.12	3.49	0	-p tsconfig.test.json --noEmit
@beep/epistemic-tables	test	tsgo	4206344	4.01	3.26	0	-p tsconfig.test.json --noEmit
@beep/epistemic-client	build	tsgo	4194288	4.0	9.51	0	-b tsconfig.json
@beep/epistemic-tables	build	tsgo	4102204	3.91	3.51	0	-b tsconfig.json
@beep/html	build	tsgo	3661328	3.49	14.43	0	-b tsconfig.json
@beep/documents-server	test	tsgo	3350888	3.2	2.9	0	-p tsconfig.test.json --noEmit
@beep/ontology-client	test	tsgo	3350144	3.19	3.92	0	-p tsconfig.test.json --noEmit
@beep/law-practice-tables	test	tsgo	3173148	3.03	2.79	0	-p tsconfig.test.json --noEmit
@beep/epistemic-ui	test	tsgo	3156664	3.01	2.51	0	-p tsconfig.test.json --noEmit
@beep/epistemic-use-cases	build	tsgo	3147572	3.0	2.9	0	-b tsconfig.json
@beep/html	scripts	tsgo	3142400	3.0	4.43	0	-p tsconfig.scripts.json --noEmit
@beep/epistemic-use-cases	test	tsgo	3116692	2.97	2.74	0	-p tsconfig.test.json --noEmit
@beep/law-practice-use-cases	build	tsgo	3061356	2.92	2.15	0	-b tsconfig.json
@beep/documents-server	build	tsgo	3053588	2.91	2.78	0	-b tsconfig.json
@beep/html	test	tsgo	3022516	2.88	5.33	0	-p tsconfig.test.json --noEmit
@beep/repo-cli	build	tsgo	2895328	2.76	3.02	0	-b tsconfig.json
@beep/epistemic-client	test	tsgo	2855512	2.72	2.47	0	-p tsconfig.test.json --noEmit
@beep/lexical-schema	test	tsgo	2802288	2.67	3.15	0	-p tsconfig.test.json --noEmit
@beep/storybook	stories	tsc	2702468	2.58	2.43	0	-p tsconfig.stories.json --noEmit
@beep/workspace-server	build	tsgo	2430512	2.32	1.67	0	-b tsconfig.json
@beep/ui	stories	tsc	2403488	2.29	3.5	0	-p tsconfig.stories.json --noEmit
@beep/documents-tables	build	tsgo	2299432	2.19	2.06	0	-b tsconfig.json
@beep/law-practice-domain	build	tsgo	2225140	2.12	2.05	0	-b tsconfig.json
@beep/documents-use-cases	test	tsgo	2091008	1.99	1.86	0	-p tsconfig.test.json --noEmit
@beep/documents-domain	test	tsgo	2013600	1.92	1.74	0	-p tsconfig.test.json --noEmit
@beep/law-practice-tables	build	tsgo	1880956	1.79	1.74	0	-b tsconfig.json
@beep/epistemic-domain	build	tsgo	1861952	1.78	2.33	0	-b tsconfig.json
@beep/ui	build	tsgo	1736408	1.66	3.25	0	-b tsconfig.json
@beep/workspace-tables	build	tsgo	1349884	1.29	1.28	0	-b tsconfig.json
@beep/editor	stories	tsc	1231736	1.17	1.32	0	-p tsconfig.stories.json --noEmit
@beep/dock-react	stories	tsc	1203052	1.15	1.19	0	-p tsconfig.stories.json --noEmit
@beep/nlp-mcp	test	tsgo	1200840	1.15	1.15	0	-p tsconfig.test.json --noEmit
@beep/agents-tables	test	tsgo	1148104	1.09	0.91	0	-p tsconfig.test.json --noEmit
@beep/wink	test	tsgo	1089228	1.04	0.83	0	-p tsconfig.test.json --noEmit
@beep/documents-domain	build	tsgo	1041720	0.99	1.13	0	-b tsconfig.json
@beep/box	test	tsgo	1027212	0.98	1.36	0	-p tsconfig.test.json --noEmit
@beep/repo-configs	other	tsgo	994696	0.95	0.86	0	-p test/tsconfig.json --noEmit
@beep/workspace-domain	build	tsgo	987876	0.94	0.87	0	-b tsconfig.json
@beep/ontology-config	build	tsgo	981788	0.94	2.69	0	-b tsconfig.json
@beep/box	scripts	tsgo	979712	0.93	1.12	0	-p tsconfig.scripts.json --noEmit
@beep/editor	test	tsgo	967404	0.92	1.06	0	-p tsconfig.test.json --noEmit
@beep/dock-react	test	tsgo	959688	0.92	0.75	0	-p tsconfig.test.json --noEmit
@beep/md	build	tsgo	954512	0.91	0.97	0	-b tsconfig.json
@beep/oip-web	build	tsgo	937776	0.89	0.89	0	-b tsconfig.json
@beep/acp	test	tsgo	917128	0.87	1.65	0	-p tsconfig.test.json --noEmit
@beep/m365-mcp	test	tsgo	915304	0.87	0.75	0	-p tsconfig.test.json --noEmit
@beep/dock	test	tsgo	914632	0.87	0.79	0	-p tsconfig.test.json --noEmit
@beep/qa-capture	test	tsgo	905992	0.86	0.68	0	-p tsconfig.test.json --noEmit
@beep/gov-legal-mcp	test	tsgo	891224	0.85	0.78	0	-p tsconfig.test.json --noEmit
@beep/repo-configs	scripts	tsgo	862508	0.82	0.71	0	-p tsconfig.scripts.json --noEmit
@beep/venice-ai	test	tsgo	859428	0.82	0.74	0	-p tsconfig.test.json --noEmit
@beep/firecrawl	test	tsgo	856448	0.82	1.17	0	-p tsconfig.test.json --noEmit
@beep/repo-utils	build	tsgo	855296	0.82	1.21	0	-b tsconfig.json
@beep/infra	build	tsgo	854836	0.82	0.68	0	-b tsconfig.json
@beep/acp	scripts	tsgo	848204	0.81	1.85	0	-p tsconfig.scripts.json --noEmit
@beep/m365	test	tsgo	842444	0.8	1.34	0	-p tsconfig.test.json --noEmit
@beep/gov-legal-mcp	scripts	tsgo	835852	0.8	0.64	0	-p tsconfig.scripts.json --noEmit
@beep/pandoc-ast	test	tsgo	830340	0.79	0.72	0	-p tsconfig.test.json --noEmit
@beep/openclaw	test	tsgo	814916	0.78	1.16	0	-p tsconfig.test.json --noEmit
@beep/ontology	test	tsgo	808588	0.77	0.73	0	-p tsconfig.test.json --noEmit
@beep/xai	test	tsgo	807232	0.77	0.73	0	-p tsconfig.test.json --noEmit
@beep/libpff	test	tsgo	806092	0.77	0.71	0	-p tsconfig.test.json --noEmit
@beep/tika	test	tsgo	805676	0.77	0.65	0	-p tsconfig.test.json --noEmit
@beep/mcp-kit	test	tsgo	799084	0.76	1.13	0	-p tsconfig.test.json --noEmit
@beep/ai-sync	test	tsgo	789848	0.75	0.7	0	-p tsconfig.test.json --noEmit
@beep/shared-tables	build	tsgo	789828	0.75	0.64	0	-b tsconfig.json
@beep/exiftool	test	tsgo	780536	0.74	1.05	0	-p tsconfig.test.json --noEmit
@beep/pretext	test	tsgo	777444	0.74	1.18	0	-p tsconfig.test.json --noEmit
@beep/uspto-mcp	test	tsgo	776492	0.74	0.73	0	-p tsconfig.test.json --noEmit
@beep/lint-rules	other	tsgo	770348	0.73	0.81	0	-p test/tsconfig.json --noEmit
@beep/govinfo	test	tsgo	767324	0.73	0.63	0	-p tsconfig.test.json --noEmit
@beep/file-processing	test	tsgo	759992	0.72	0.7	0	-p tsconfig.test.json --noEmit
@beep/shared-domain	build	tsgo	758896	0.72	1.22	0	-b tsconfig.json
