# CourtListener v4 anonymous OPTIONS capture map — fetched 2026-07-11 from https://www.courtlistener.com/api/rest/v4/<endpoint>/
aba-ratings	200 captured
agreements	200 captured
alerts	401 auth-required (anonymous)
attorneys	401 auth-required (anonymous)
audio	200 captured
bankruptcy-information	401 auth-required (anonymous)
citation-lookup	401 auth-required (anonymous)
clusters	401 auth-required (anonymous)
courts	200 captured
debts	200 captured
disclosure-positions	200 captured
docket-alerts	401 auth-required (anonymous)
docket-entries	401 auth-required (anonymous)
docket-tags	401 auth-required (anonymous)
dockets	401 auth-required (anonymous)
educations	200 captured
financial-disclosures	200 captured
fjc-integrated-database	401 auth-required (anonymous)
gifts	200 captured
increment-event	200 captured
investments	200 captured
memberships	400 (requires params even for OPTIONS)
non-investment-incomes	200 captured
opinions	401 auth-required (anonymous)
opinions-cited	401 auth-required (anonymous)
originating-court-information	401 auth-required (anonymous)
parties	401 auth-required (anonymous)
people	200 captured
political-affiliations	200 captured
positions	200 captured
prayers	401 auth-required (anonymous)
recap	401 auth-required (anonymous)
recap-documents	401 auth-required (anonymous)
recap-email	401 auth-required (anonymous)
recap-fetch	200 captured
recap-query	401 auth-required (anonymous)
reimbursements	200 captured
retention-events	200 captured
schools	200 captured
scrapers/scotus-email	401 auth-required (anonymous)
search	200 captured
sources	200 captured
spouse-incomes	200 captured
tag	401 auth-required (anonymous)
tags	200 captured
visualizations	401 auth-required (anonymous)
visualizations/json	401 auth-required (anonymous)
