client-config-created path=/home/elpresidank/.cache/beep-p0-spike3.WkQp2E/spike3/a2-client.json mode=600

=== activate nonexistent-field resolver target ===
ASSERT-PASS: broken reference caused causal reload failure and alert

=== restore exact reference and prove clean reload ===
ASSERT-PASS: exact op:// reference restored and current

=== evidence secret scan ===
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
client-config-removing path=/home/elpresidank/.cache/beep-p0-spike3.WkQp2E/spike3/a2-client.json mode=600
client-config-removed path=/home/elpresidank/.cache/beep-p0-spike3.WkQp2E/spike3/a2-client.json mode=600
log-scan label=gateway sha256-prefix=6c9c6b13 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=3c91ab0a plaintext=absent token-shapes=absent
