client-config-created path=/home/elpresidank/.cache/beep-p0-spike3.5R0T7w/spike3/a2-client.json mode=600

=== activate nonexistent-field resolver target ===
ASSERT-PASS: broken reference caused causal reload failure and alert

=== restore exact reference and prove clean reload ===
ASSERT-PASS: exact op:// reference restored and current

=== evidence secret scan ===
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
client-config-removing path=/home/elpresidank/.cache/beep-p0-spike3.5R0T7w/spike3/a2-client.json mode=600
client-config-removed path=/home/elpresidank/.cache/beep-p0-spike3.5R0T7w/spike3/a2-client.json mode=600
log-scan label=gateway sha256-prefix=3b6cd0d9 plaintext=absent token-shapes=absent
log-scan label=service-account sha256-prefix=c5b52aea plaintext=absent token-shapes=absent
