package	dir	files	lines	symbols	types	instantiations	memory_used_k	max_rss_k	parse_s	bind_s	check_s	total_s	errors	rc	tsgo_version
@beep/architecture-lab-proof	apps/architecture-lab-proof	1293	503387	1288046	625191	2350269	903718	1815004	0.043	0.009	17.752	17.806	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/oip-web	apps/oip-web	6035	650480	1540289	628670	2559858	1128689	2240792	0.067	0.017	18.131	18.222	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/practice-kg-mcp	apps/practice-kg-mcp	1991	681628	7156210	2547882	5913620	4241016	5730684	0.068	0.020	22.082	22.173	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/professional-desktop	apps/professional-desktop	8888	1090638	16729748	4967856	23561112	8982874	11347840	0.123	0.021	26.510	26.662	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/agents-client	packages/agents/client	1109	547954	6708803	1763564	15257385	3165681	5207404	0.040	0.014	20.550	20.607	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/agents-domain	packages/agents/domain	915	478168	1306873	597909	2156510	879250	1751996	0.039	0.012	18.251	18.304	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/agents-server	packages/agents/server	1464	619201	6830172	1869731	15721597	3320411	5403456	0.060	0.014	20.974	21.051	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/agents-tables	packages/agents/tables	1185	495230	1259427	579047	2171131	913665	1844692	0.045	0.010	17.947	18.004	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/agents-use-cases	packages/agents/use-cases	1010	525851	6340778	1681741	15010145	3000861	4837340	0.041	0.008	20.589	20.641	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/architecture-lab-client	packages/architecture-lab/client	919	475727	1077497	525412	2040145	770590	1628000	0.035	0.013	18.151	18.202	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/architecture-lab-config	packages/architecture-lab/config	899	471439	893329	452267	1741370	672518	1421092	0.038	0.012	17.654	17.705	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/architecture-lab-domain	packages/architecture-lab/domain	912	474546	1066211	520001	2010360	763743	1611956	0.038	0.014	18.287	18.342	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/architecture-lab-server	packages/architecture-lab/server	1303	504874	1480081	696125	2536364	1044140	2011280	0.044	0.010	19.296	19.353	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/architecture-lab-tables	packages/architecture-lab/tables	1191	495955	1188739	557100	2130804	875611	1734412	0.046	0.016	18.250	18.317	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/architecture-lab-ui	packages/architecture-lab/ui	914	475147	1072540	523333	2023798	767337	1616792	0.035	0.011	17.866	17.914	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/architecture-lab-use-cases	packages/architecture-lab/use-cases	925	476364	1188148	567168	2130293	832669	1729776	0.038	0.014	18.060	18.113	0	0	Version 7.0.2+effect-tsgo.0.24.3
@beep/documents-domain	packages/documents/domain	932	482353	1878470	757817	2258218	1184966	2080736	0.038	0.014	19.347	19.401	0	0	Version 7.0.2+effect-tsgo.0.24.3
