clone	run_id	branch	verdict_created_at	status_created_at	stash_created_at	has_verdict	has_status	mode	outcome	committed	pushed	base	base_freshness_present	behind_count	merge_base	overlapping_path_count	overlapping_paths	status_verdict_state	remote_state	remote_mergeable
clone01	beep_editor-15abc31b98cb	@beep/editor	2026-06-14T05:49:09.634Z	2026-06-14T05:49:08.546Z		true	true	closeout	failure			origin/main	false			0		present	OPEN	MERGEABLE
clone01	chore_deps-update-7-11-26-637556fb9690	chore/deps-update-7-11-26	2026-07-11T23:04:14.850Z			true	false	publish	success	true	true	origin/main	true	0	f185a818407fbd0f9a211fbe14e78663235b5f53	0				
clone01	chore_deps-update-7-13-26-3a7a4139ea68	chore/deps-update-7-13-26	2026-07-14T04:21:47.772Z	2026-07-14T04:21:46.582Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	chore_deps-update-7-24-26-59e4b1246bb9	@chore/deps-update-7-24-26	2026-07-25T00:37:15.309Z	2026-07-25T00:37:13.991Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	chore_deps-update-effect-beta90-2743ec3db82b	chore/deps-update-effect-beta90	2026-06-27T04:03:02.894Z	2026-06-27T04:03:01.732Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	chore_goals-housekeeping-9101cdac3f08	chore/goals-housekeeping	2026-07-11T05:50:23.557Z			true	false	monitor	success			origin/main	false			0				
clone01	chore_knowledge-surface-unmerged-followup-c20a7963ded0	chore/knowledge-surface-unmerged-followup		2026-08-04T02:53:02.698Z		false	true					origin/main	false			0		missing		
clone01	chore_move-md-to-modeling-201fbcf7f29b	chore/move-md-to-modeling	2026-06-12T19:40:09.590Z	2026-06-12T19:40:08.316Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	chore_repo-green-sweep-6551c442cd2c	chore/repo-green-sweep	2026-06-15T23:13:51.142Z	2026-06-15T22:34:40.592Z		true	true	publish	failure	true		origin/main	true	0	3ca18e9f9be242b2704060ca3ea916490b953863	0		present	OPEN	MERGEABLE
clone01	coding-agent-effectiveness-evidence-loop-0b12cb9b250e	coding-agent-effectiveness-evidence-loop	2026-08-01T02:33:45.040Z		2026-08-01T02:16:10.352Z	true	false	publish	failure	true		origin/main	true	1	c21fb7bb6a5a93fa3e4e917b872f169a8e7ef0a4	0				
clone01	dataset-schemas-5a4998a2f732	dataset-schemas	2026-06-21T05:29:47.861Z	2026-06-18T20:10:03.176Z		true	true	publish	failure	true	true	origin/main	true	3	092388f728c231119ce18d56ab88402f6c5a0958	0		missing		
clone01	deps-update-7-10-26-5b8b0e3b86be	deps-update-7-10-26	2026-07-10T23:09:55.073Z	2026-07-10T23:10:04.534Z		true	true	publish	success	true	true	origin/main	true	0	05bb13a9d4b62cba4917d200e807a20bac35a0c2	0		present		
clone01	effect-claudecode-b81e25007222	effect-claudecode	2026-07-26T08:02:10.224Z	2026-07-26T08:02:08.807Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	feat_agent-pipeline-velocity-f7cd88706539	feat/agent-pipeline-velocity	2026-07-06T01:46:27.917Z			true	false	monitor	failure			origin/main	false			0				
clone01	feat_chat-surface-parity-ea0c09d2b2a4	feat/chat-surface-parity	2026-06-15T19:16:57.622Z	2026-06-15T19:17:18.339Z		true	true	verify	failure			origin/main	false			0		present		
clone01	feat_desktop-chat-surface-1ede65f235a2	feat/desktop-chat-surface	2026-06-15T02:48:15.259Z			true	false	verify	failure			origin/main	false			0				
clone01	feat_files-flatten-media-3696b4f5557c	feat/files-flatten-media	2026-07-28T22:00:11.085Z	2026-07-28T22:00:09.418Z		true	true	closeout	failure			origin/main	false			0		present	OPEN	MERGEABLE
clone01	feat_goals-doctor-c5f14a08435c	feat/goals-doctor	2026-07-11T13:31:58.354Z			true	false	monitor	success			origin/main	false			0				
clone01	feat_goals-doctor-packet-482e5785e85e	feat/goals-doctor-packet	2026-07-11T06:35:31.029Z			true	false	monitor	success			origin/main	false			0				
clone01	feat_harness-hygiene-mechanical-11c84a5cd3d3	feat/harness-hygiene-mechanical	2026-07-14T13:50:03.930Z	2026-07-14T13:50:02.408Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	feat_image-curation-pipeline-bb5ab6c59928	feat/image-curation-pipeline	2026-07-27T04:56:11.809Z	2026-07-27T04:56:10.605Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	feat_local-models-gguf-7c44160b53ab	feat/local-models-gguf	2026-06-29T03:55:30.899Z	2026-06-29T03:37:44.651Z		true	true	verify	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	feat_mcp-kit-04bbd4693c98	feat/mcp-kit	2026-07-01T22:44:13.023Z			true	false	monitor	failure			origin/main	false			0				
clone01	feat_pglite-inprocess-driver-50bae73c2bfb	feat/pglite-inprocess-driver	2026-06-18T10:22:27.513Z	2026-06-18T08:13:53.080Z		true	true	publish	failure			origin/main	true	0	af8b38ec0c1f2bf8d6be15246f5e95715bd7bae7	0		present		
clone01	feat_quality-gate-ratchets-df96724b5932	feat/quality-gate-ratchets	2026-07-06T14:06:42.241Z			true	false	publish	success		true	origin/main	true	0	b54fbec8cff08be713cfb8c05d62610905a5ba15	0				
clone01	feat_recorded-qa-system-f8e7770795e4	feat/recorded-qa-system	2026-07-31T02:30:52.939Z			true	false	monitor	failure			origin/main	false			0				
clone01	feat_skillopt-training-pilot-2b400eba1d77	feat/skillopt-training-pilot	2026-07-07T00:35:30.695Z			true	false	publish	failure			origin/main	false			0				
clone01	feat_tracked-docs-home	feat/tracked-docs-home	2026-06-12T08:39:20.578Z			true	false	publish	success		true	origin/main	true	0	78cbec4d1db4e9f5a1499a821c1d2f172af768ee	0				
clone01	fix_codex-security-findings-2026-07-10-a74d3dacf168	fix/codex-security-findings-2026-07-10	2026-07-11T04:04:00.603Z	2026-07-11T04:03:59.178Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	fix_main-verify-cleanup-7d425b2bfa17	fix/main-verify-cleanup	2026-06-15T19:52:25.574Z			true	false	verify	failure			origin/main	false			0				
clone01	fix_ui-build-20260727-d6caf6e194d2	fix/ui-build-20260727		2026-07-27T07:08:02.097Z		false	true					origin/main	false			0		missing		
clone01	goals_yeet-agent-ergonomics	goals/yeet-agent-ergonomics	2026-06-11T13:07:31.678Z			true	false	closeout	success			origin/main	false			0				
clone01	gold-implementation-8e4297f08217	gold-implementation	2026-07-01T22:12:34.263Z			true	false	verify	failure			origin/main	false			0				
clone01	gold-intake-01f4eda71a6d	gold-intake	2026-07-01T07:49:07.868Z	2026-07-01T03:20:12.158Z		true	true	verify	failure			origin/main	false			0		present		
clone01	knowledge-surface-automation-beed12b6d491	knowledge-surface-automation	2026-08-01T08:41:47.373Z	2026-08-01T08:41:46.068Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	knowledge-surface-p2-grill-decisions-91d22cd16692	knowledge-surface-p2-grill-decisions	2026-08-01T10:21:10.339Z	2026-08-01T10:21:09.045Z		true	true	monitor	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	legal-drivers-35149bd3e531	legal-drivers	2026-06-30T02:04:09.810Z	2026-06-30T02:04:18.437Z		true	true	verify	success			origin/main	false			0		present		
clone01	main-0d6e4079e367	main	2026-07-29T01:27:09.099Z	2026-07-14T15:33:43.295Z		true	true	verify	failure			origin/main	false			0		present		
clone01	public-ids-7bf746737181	public-ids	2026-07-09T00:52:51.942Z	2026-07-09T00:52:50.714Z		true	true	monitor	success			origin/main	false			0		present	OPEN	MERGEABLE
clone01	refactor_law-practice-citation-defaults-f7355645f2de	refactor/law-practice-citation-defaults	2026-07-30T03:23:02.686Z	2026-07-30T03:23:01.350Z		true	true	closeout	failure			origin/main	false			0		present	OPEN	MERGEABLE
clone01	slop_7-11-26-658cdedbc576	@slop/7-11-26	2026-07-11T21:53:12.634Z	2026-07-11T20:27:41.822Z		true	true	publish	failure			origin/main	true	0	158876c1e65fb78464106986e04f9ad2b64c6ab0	0		present	OPEN	MERGEABLE
clone01	slop_7-17-26-d3bcdfd4f9cb	@slop/7-17-26	2026-07-18T01:52:10.088Z	2026-07-18T01:52:24.276Z		true	true	closeout	failure			origin/main	false			0		present	OPEN	MERGEABLE
clone01	slop_7-29-26-809585e58ef0	@slop/7-29-26	2026-07-30T13:29:27.045Z	2026-07-30T13:29:25.401Z		true	true	closeout	failure			origin/main	false			0		present	OPEN	MERGEABLE
clone01	slop_deps-update-7-27-26-377e867d8c95	@slop/deps-update-7-27-26	2026-07-27T15:20:34.588Z	2026-07-27T15:20:33.257Z		true	true	closeout	failure			origin/main	false			0		present	OPEN	MERGEABLE
clone11	goals_goal-portfolio-driver-adc3c507d019	goals/goal-portfolio-driver	2026-07-17T00:33:29.265Z			true	false	publish	success	true	true	origin/main	true	0	dbd3f8170e8f71343fe3dc782807964ad2aca130	0				
clone11	goals_goal-portfolio-driver-review-fixes-ee46cf4155f7	goals/goal-portfolio-driver-review-fixes	2026-07-17T01:32:29.945Z			true	false	closeout	success			origin/main	false			0				
clone12	explore_agent-effectiveness-pulse-a1224828fde8	explore/agent-effectiveness-pulse	2026-07-14T08:40:00.968Z			true	false	publish	success	true	true	origin/main	true	0	dc95033709354a6ca8c8702c2f79e77ec009dd02	0				
clone12	goals_agent-effectiveness-pulse-wave1-d0658fa593c3	goals/agent-effectiveness-pulse-wave1	2026-07-14T09:55:31.869Z	2026-07-14T09:55:30.576Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone12	goals_harness-otel-adoption-impl-b976a11e50bd	goals/harness-otel-adoption-impl	2026-07-14T11:35:09.716Z	2026-07-14T11:23:29.283Z		true	true	publish	success		true	origin/main	true	0	cd7670d5d07b901df1dc12fa51f5546d9758babf	0		present	OPEN	MERGEABLE
clone13	feat_recorded-qa-followup-cb78e9dff6d1	feat/recorded-qa-followup	2026-08-01T13:50:29.859Z			true	false	publish	success		true	origin/main	true	0	91ff8fa480e43566be154feb9ce158cdd7c04fc7	0				
clone14	chore_repos-pin-sync-ae7c954e546d	chore/repos-pin-sync	2026-07-25T06:47:55.556Z			true	false	publish	failure			origin/main	false			0				
clone16	docs_legal-patent-kg-deepening-reconciliation-8073c4dece14	docs/legal-patent-kg-deepening-reconciliation	2026-08-01T17:18:57.094Z	2026-08-01T16:59:52.643Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone16	docs_legal-patent-kg-deepening-research-34f3e8d2be67	docs/legal-patent-kg-deepening-research	2026-08-01T16:38:48.128Z	2026-08-01T14:43:03.950Z		true	true	closeout	success			origin/main	false			0		present	OPEN	MERGEABLE
clone16	docs_legal-patent-kg-deepening-seed-da3211adb740	docs/legal-patent-kg-deepening-seed	2026-08-01T10:05:46.783Z	2026-08-01T10:05:45.313Z		true	true	monitor	success			origin/main	false			0		present	OPEN	MERGEABLE
